t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17817819.2,88919161.9,439384369
1.0,S,30,2.76,1.25,17817819.2,88919260.1,439384488
2.0,S,30,5.87,2.76,17817819.2,88919612.7,439384906
3.0,S,37,8.96,4.24,17817819.2,88919909.0,439385807
4.0,S,36,10.43,5.07,17817819.2,88920244.5,439386808
5.0,S,34,10.44,5.17,17817819.2,88920597.8,439387809
6.0,S,30,10.45,5.22,17817819.2,88921180.6,439388810
7.1,S,30,10.45,5.25,17817819.2,88921289.6,439389859
8.1,S,30,10.45,5.26,17817819.2,88921302.2,439390860
10.0,S,30,12.41,6.11,17817819.2,88921324.9,439392841
11.0,S,30,12.41,6.11,17817819.2,88921333.8,439393842
13.5,S,40,14.03,7.29,17817819.2,88921684.8,439396257
14.5,S,40,15.51,8.03,17817819.2,88922316.1,439397258
15.5,S,30,17.64,9.17,17817819.2,88922574.4,439398095
16.7,S,41,21.01,10.83,17817819.2,88922875.8,439399128
17.7,S,41,22.96,11.65,17817819.2,88922887.0,439400129
18.7,S,41,22.96,11.65,17817819.2,88922897.9,439401130
19.7,S,41,22.96,11.65,17817819.2,88922908.5,439402131
20.7,S,41,22.96,11.65,17817819.2,88922920.6,439403131
21.7,S,41,22.96,11.65,17817819.2,88922930.8,439404132
22.7,S,40,22.97,11.96,17817819.2,88923531.6,439405133
23.7,S,40,22.99,12.13,17817819.2,88923885.9,439406133
24.9,S,35,23.10,12.29,17817819.2,88924311.1,439407377
25.9,S,30,24.51,13.28,17817819.2,88924603.7,439408209
26.9,S,30,27.62,14.59,17817819.3,88924614.7,439409211
27.9,S,30,29.28,15.26,17817819.3,88924625.8,439410212
28.9,S,30,29.28,15.26,17817819.3,88924635.2,439411212
29.9,S,30,29.28,15.26,17817819.3,88924644.9,439412213
30.9,S,30,29.38,15.43,17817819.3,88925209.1,439413214
31.9,S,30,29.78,15.72,17817819.3,88925593.8,439414215
33.1,S,30,29.94,15.96,17817819.3,88926291.4,439415390
34.2,S,30,29.96,16.07,17817819.3,88926666.9,439416474
39.4,S,30,29.96,16.10,17817819.3,88926737.1,439421649
40.4,S,44,33.50,18.04,17817839.5,88927144.8,439422647
41.4,S,44,35.52,19.03,17817889.1,88927523.8,439423648
42.5,S,41,37.27,20.15,17817956.5,88928139.7,439424745
43.5,S,31,37.36,20.30,17818001.7,88928466.6,439425746
44.5,S,31,37.36,20.30,17818002.3,88928470.0,439426748
45.5,S,31,37.36,20.30,17818002.3,88928481.0,439427749
46.5,S,31,37.36,20.30,17818002.3,88928491.7,439428750
47.5,S,31,37.36,20.33,17818008.7,88928500.3,439429751
48.5,S,31,37.36,20.33,17818011.0,88928506.3,439430752
49.5,S,30,38.70,21.03,17818072.8,88929093.0,439431750
50.5,S,30,40.40,21.86,17818114.1,88929500.5,439432803
51.6,S,30,41.56,22.69,17818171.0,88929877.5,439433901
52.7,S,30,43.90,23.79,17818218.5,88930298.9,439435016
53.7,S,30,44.42,24.05,17818226.6,88930339.5,439436017
54.7,S,30,44.42,24.05,17818234.9,88930378.6,439437018
56.5,S,30,44.43,24.10,17818245.0,88930450.8,439438765
57.5,S,30,44.43,24.10,17818253.0,88930491.1,439439766
59.0,S,30,44.44,24.19,17818277.5,88930681.1,439441281
60.0,S,30,44.69,24.35,17818338.6,88931020.0,439442281
61.0,S,45,49.03,26.48,17818393.5,88931278.8,439443092
62.0,S,44,50.92,27.44,17818431.4,88931868.0,439444091
63.2,S,44,52.24,28.27,17818437.0,88932373.9,439445320
64.4,S,43,53.81,29.09,17818437.1,88932639.9,439446441
69.7,S,43,53.82,29.16,17818437.1,88932867.7,439451757
70.8,S,40,54.09,29.46,17818437.1,88933555.9,439452862
72.3,S,34,54.12,29.60,17818437.1,88934137.1,439454381
73.3,S,34,54.12,29.60,17818437.1,88934147.2,439455382
74.3,S,34,54.12,29.60,17818437.1,88934157.7,439456384
75.3,S,34,54.12,29.60,17818437.1,88934168.2,439457385
76.3,S,31,54.12,29.61,17818437.1,88934178.4,439458386
77.3,S,31,54.12,29.61,17818437.1,88934189.5,439459387
78.3,S,30,54.14,29.80,17818437.1,88934748.3,439460387
79.3,R,25,56.50,31.50,17818441.0,88935028.6,439461211
