t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17771878.1,85444620.7,433749899
1.0,S,34,9.15,4.28,17771878.1,85444622.3,433749926
2.0,S,34,19.88,9.42,17771878.1,85444622.6,433749929
3.0,S,34,30.39,14.78,17771878.1,85444622.9,433749936
4.0,S,34,41.12,19.91,17771878.1,85444623.1,433749937
5.0,S,34,51.80,25.06,17771878.1,85444624.8,433749949
6.0,S,34,61.52,29.71,17771878.1,85444661.6,433750039
7.0,S,34,71.40,34.31,17771878.1,85444690.0,433750119
8.0,S,34,80.34,38.54,17771878.1,85444770.6,433750276
9.0,S,34,91.29,43.47,17771878.1,85444770.9,433750280
10.0,S,34,101.05,47.88,17771878.1,85444871.5,433750381
11.0,S,34,111.73,53.07,17771878.1,85444872.1,433750384
12.0,S,34,122.23,58.28,17771878.1,85444884.4,433750399
13.0,S,34,131.76,62.76,17771878.1,85444998.0,433750502
14.0,S,34,142.58,67.81,17771878.1,85444998.3,433750506
15.0,S,34,153.19,72.68,17771878.1,85445051.3,433750565
16.0,S,37,165.76,77.57,17771878.1,85445121.0,433750641
17.0,S,35,178.70,82.57,17771878.1,85445218.4,433750734
18.0,S,35,186.68,86.02,17771878.1,85445318.6,433751068
19.0,S,34,197.71,91.09,17771878.1,85445351.0,433751103
20.0,S,34,208.31,95.99,17771878.1,85445405.4,433751157
21.0,S,42,224.22,100.47,17771878.1,85445484.0,433751299
22.0,S,42,241.85,105.11,17771878.1,85445556.6,433751461
23.0,S,34,253.39,109.58,17771878.1,85445789.9,433752018
24.0,S,38,263.43,113.06,17771878.1,85445895.2,433752343
25.0,S,38,279.25,118.14,17771878.1,85445895.5,433752346
26.0,S,36,292.76,122.92,17771878.1,85446011.9,433752675
27.0,S,35,298.29,125.00,17771878.1,85446173.6,433753328
28.0,S,34,310.01,130.06,17771878.1,85446238.7,433753391
29.0,S,34,321.97,134.91,17771878.1,85446239.1,433753394
30.0,S,34,332.47,139.61,17771878.1,85446342.0,433753498
31.0,S,34,344.00,144.91,17771878.1,85446368.2,433753521
32.0,S,34,354.41,149.65,17771878.1,85446536.3,433753685
33.0,S,34,366.15,154.78,17771878.1,85446536.5,433753688
34.0,S,34,377.77,159.95,17771878.1,85446537.1,433753691
35.0,S,34,388.60,164.36,17771878.1,85446640.0,433753789
36.0,S,34,400.29,169.52,17771878.1,85446704.8,433753847
37.0,S,37,411.33,174.18,17771878.1,85446807.3,433753947
38.0,S,37,425.98,179.45,17771878.1,85446807.6,433753949
39.0,S,37,439.70,184.70,17771878.1,85446849.5,433754262
40.1,S,35,448.53,188.16,17771878.1,85447094.8,433754775
41.1,S,35,461.21,193.34,17771878.1,85447095.2,433754776
42.1,S,34,473.00,198.60,17771878.1,85447135.8,433754888
43.1,S,42,486.13,202.31,17771878.1,85447238.5,433755132
44.1,S,42,505.96,207.23,17771878.1,85447303.4,433755291
45.1,S,41,523.49,211.80,17771878.1,85447465.6,433755679
46.1,S,34,531.19,214.69,17771878.1,85447684.0,433756388
47.1,S,38,546.40,219.32,17771878.1,85447729.9,433756440
48.1,S,38,561.78,224.14,17771878.1,85447810.7,433756530
49.1,S,34,571.93,228.49,17771878.1,85448059.1,433756840
50.1,S,34,583.78,233.54,17771878.1,85448059.7,433756843
51.1,S,34,595.60,238.57,17771878.1,85448086.2,433756877
52.1,S,34,605.65,243.68,17771878.1,85448210.5,433757011
53.1,S,34,617.40,248.73,17771878.1,85448211.8,433757013
54.1,S,34,627.83,253.41,17771878.1,85448314.8,433757121
55.1,S,34,639.61,258.47,17771878.1,85448315.0,433757122
56.1,S,34,651.28,263.60,17771878.1,85448380.0,433757182
57.1,S,34,660.33,267.40,17771878.1,85448482.5,433757431
58.1,S,34,672.29,272.27,17771878.1,85448482.9,433757440
59.1,S,37,681.68,275.99,17771878.1,85448585.9,433757687
60.1,S,20,694.20,279.99,17771878.1,85448586.3,433757688
61.1,S,18,696.32,280.06,17771878.1,85448707.5,433757965
62.1,S,18,697.31,280.07,17771878.1,85448707.8,433757968
63.1,R,17,697.95,280.18,17771878.1,85448823.8,433758251
